Code,Area,Year,Measure,Value
E09000031,Waltham Forest,Year ending Sep 1997,Median,"60,000"
E09000032,Wandsworth,Year ending Sep 1997,Median,"104,150"
E09000033,Westminster,Year ending Sep 1997,Median,"157,000"
E12000001,North East,Year ending Sep 1997,Median,"46,500"
E12000002,North West,Year ending Sep 1997,Median,"48,500"
E12000003,Yorkshire And The Humber,Year ending Sep 1997,Median,"48,500"
E12000004,East Midlands,Year ending Sep 1997,Median,"49,950"
E12000005,West Midlands,Year ending Sep 1997,Median,"54,000"
E12000006,East of England,Year ending Sep 1997,Median,"61,995"
E12000007,London,Year ending Sep 1997,Median,"83,500"
E12000008,South East,Year ending Sep 1997,Median,"72,500"
E12000009,South West,Year ending Sep 1997,Median,"59,950"
E92000001,England,Year ending Sep 1997,Median,"59,995"
W92000004,Wales,Year ending Sep 1997,Median,"47,000"
K04000001,England And Wales,Year ending Sep 1997,Median,"59,950"
E09000001,City of London,Year ending Dec 1997,Median,"135,000"
E09000002,Barking and Dagenham,Year ending Dec 1997,Median,"53,500"
E09000003,Barnet,Year ending Dec 1997,Median,"100,000"
E09000004,Bexley,Year ending Dec 1997,Median,"71,000"
E09000005,Brent,Year ending Dec 1997,Median,"83,500"
E09000006,Bromley,Year ending Dec 1997,Median,"86,000"
E09000007,Camden,Year ending Dec 1997,Median,"145,000"
E09000008,Croydon,Year ending Dec 1997,Median,"71,000"
E09000009,Ealing,Year ending Dec 1997,Median,"90,000"
E09000010,Enfield,Year ending Dec 1997,Median,"78,000"
E09000011,Greenwich,Year ending Dec 1997,Median,"66,000"
E09000012,Hackney,Year ending Dec 1997,Median,"76,998"
E09000013,Hammersmith and Fulham,Year ending Dec 1997,Median,"136,000"
E09000014,Haringey,Year ending Dec 1997,Median,"81,000"
E09000015,Harrow,Year ending Dec 1997,Median,"94,159"
E09000016,Havering,Year ending Dec 1997,Median,"74,000"
E09000017,Hillingdon,Year ending Dec 1997,Median,"79,925"
E09000018,Hounslow,Year ending Dec 1997,Median,"80,000"
E09000019,Islington,Year ending Dec 1997,Median,"118,875"
E09000020,Kensington and Chelsea,Year ending Dec 1997,Median,"225,000"
E09000021,Kingston upon Thames,Year ending Dec 1997,Median,"94,950"
E09000022,Lambeth,Year ending Dec 1997,Median,"85,000"
E09000023,Lewisham,Year ending Dec 1997,Median,"64,000"
E09000024,Merton,Year ending Dec 1997,Median,"84,950"
E09000025,Newham,Year ending Dec 1997,Median,"56,000"
E09000026,Redbridge,Year ending Dec 1997,Median,"76,375"
